224
AlexNet
GPU is on? True
4208 500
begin training, length_of_one_mini_batch : 106
epoch:1/101 loss:2.3501|10s train_acc:(538/4208 12.79%)|4s valid_acc:(57/500 11.40%)|0s take:0min remain:26min
epoch:53/101 loss:0.0027|8s train_acc:(4197/4208 99.74%)|5s valid_acc:(439/500 87.80%)|0s take:14min remain:11min
epoch:54/101 loss:0.0040|8s train_acc:(4150/4208 98.62%)|5s valid_acc:(434/500 86.80%)|0s take:14min remain:11min
epoch:55/101 loss:0.0876|8s train_acc:(4185/4208 99.45%)|5s valid_acc:(430/500 86.00%)|0s take:15min remain:11min
epoch:56/101 loss:0.0334|8s train_acc:(4175/4208 99.22%)|5s valid_acc:(438/500 87.60%)|0s take:15min remain:11min
epoch:57/101 loss:0.0002|8s train_acc:(4199/4208 99.79%)|5s valid_acc:(433/500 86.60%)|0s take:15min remain:10min
epoch:58/101 loss:0.0000|8s train_acc:(4179/4208 99.31%)|5s valid_acc:(431/500 86.20%)|0s take:15min remain:10min
epoch:59/101 loss:0.0475|8s train_acc:(4197/4208 99.74%)|5s valid_acc:(439/500 87.80%)|0s take:16min remain:10min
epoch:60/101 loss:0.0005|8s train_acc:(4190/4208 99.57%)|5s valid_acc:(420/500 84.00%)|0s take:16min remain:10min
epoch:61/101 loss:0.0002|8s train_acc:(4155/4208 98.74%)|5s valid_acc:(422/500 84.40%)|0s take:16min remain:9min
epoch:62/101 loss:0.0133|8s train_acc:(4202/4208 99.86%)|5s valid_acc:(440/500 88.00%)|0s take:17min remain:9min
epoch:63/101 loss:0.0023|8s train_acc:(4188/4208 99.52%)|5s valid_acc:(444/500 88.80%)|0s take:17min remain:9min
epoch:64/101 loss:0.0000|8s train_acc:(4198/4208 99.76%)|5s valid_acc:(439/500 87.80%)|0s take:17min remain:9min
epoch:65/101 loss:0.0191|8s train_acc:(4141/4208 98.41%)|5s valid_acc:(418/500 83.60%)|0s take:17min remain:8min
epoch:66/101 loss:0.2219|8s train_acc:(4190/4208 99.57%)|5s valid_acc:(426/500 85.20%)|0s take:18min remain:8min
epoch:67/101 loss:0.0236|8s train_acc:(4207/4208 99.98%)|5s valid_acc:(434/500 86.80%)|0s take:18min remain:8min
epoch:68/101 loss:0.0002|8s train_acc:(4204/4208 99.90%)|5s valid_acc:(430/500 86.00%)|0s take:18min remain:8min
epoch:69/101 loss:0.0175|8s train_acc:(4208/4208 100.00%)|5s valid_acc:(435/500 87.00%)|0s take:18min remain:8min
epoch:70/101 loss:0.0283|8s train_acc:(4200/4208 99.81%)|5s valid_acc:(436/500 87.20%)|0s take:19min remain:7min
epoch:71/101 loss:0.0009|8s train_acc:(4208/4208 100.00%)|5s valid_acc:(444/500 88.80%)|0s take:19min remain:7min
epoch:72/101 loss:0.0003|8s train_acc:(4132/4208 98.19%)|5s valid_acc:(438/500 87.60%)|0s take:19min remain:7min
epoch:73/101 loss:0.0005|8s train_acc:(4167/4208 99.03%)|5s valid_acc:(417/500 83.40%)|0s take:20min remain:7min
epoch:74/101 loss:0.0164|8s train_acc:(4197/4208 99.74%)|5s valid_acc:(436/500 87.20%)|0s take:20min remain:6min
epoch:75/101 loss:0.0297|8s train_acc:(4123/4208 97.98%)|5s valid_acc:(416/500 83.20%)|0s take:20min remain:6min
epoch:76/101 loss:0.0241|8s train_acc:(4193/4208 99.64%)|5s valid_acc:(427/500 85.40%)|0s take:20min remain:6min
epoch:77/101 loss:0.0015|8s train_acc:(4195/4208 99.69%)|5s valid_acc:(443/500 88.60%)|0s take:21min remain:6min
epoch:78/101 loss:0.0323|8s train_acc:(4204/4208 99.90%)|5s valid_acc:(426/500 85.20%)|0s take:21min remain:5min
epoch:79/101 loss:0.0369|8s train_acc:(4202/4208 99.86%)|5s valid_acc:(434/500 86.80%)|0s take:21min remain:5min
epoch:80/101 loss:0.0104|8s train_acc:(4197/4208 99.74%)|5s valid_acc:(445/500 89.00%)|0s take:21min remain:5min
epoch:81/101 loss:0.0030|8s train_acc:(4157/4208 98.79%)|5s valid_acc:(424/500 84.80%)|0s take:22min remain:5min
epoch:82/101 loss:0.0020|8s train_acc:(4195/4208 99.69%)|5s valid_acc:(441/500 88.20%)|0s take:22min remain:4min
epoch:83/101 loss:0.0528|8s train_acc:(4195/4208 99.69%)|5s valid_acc:(439/500 87.80%)|0s take:22min remain:4min
epoch:84/101 loss:0.0003|8s train_acc:(4197/4208 99.74%)|5s valid_acc:(436/500 87.20%)|0s take:23min remain:4min
epoch:85/101 loss:0.0000|8s train_acc:(4206/4208 99.95%)|5s valid_acc:(436/500 87.20%)|0s take:23min remain:4min
epoch:86/101 loss:0.0048|8s train_acc:(4190/4208 99.57%)|5s valid_acc:(438/500 87.60%)|0s take:23min remain:3min
epoch:87/101 loss:0.0001|8s train_acc:(4206/4208 99.95%)|5s valid_acc:(435/500 87.00%)|0s take:23min remain:3min
epoch:88/101 loss:0.0036|8s train_acc:(4207/4208 99.98%)|5s valid_acc:(441/500 88.20%)|0s take:24min remain:3min
epoch:89/101 loss:0.0016|8s train_acc:(4208/4208 100.00%)|5s valid_acc:(430/500 86.00%)|0s take:24min remain:3min
epoch:90/101 loss:0.0015|8s train_acc:(4208/4208 100.00%)|5s valid_acc:(439/500 87.80%)|0s take:24min remain:2min
epoch:91/101 loss:0.0002|8s train_acc:(4208/4208 100.00%)|5s valid_acc:(439/500 87.80%)|0s take:24min remain:2min
epoch:92/101 loss:0.0000|8s train_acc:(4200/4208 99.81%)|5s valid_acc:(436/500 87.20%)|0s take:25min remain:2min
epoch:93/101 loss:0.0113|8s train_acc:(4192/4208 99.62%)|5s valid_acc:(439/500 87.80%)|0s take:25min remain:2min
epoch:94/101 loss:0.0437|8s train_acc:(4199/4208 99.79%)|5s valid_acc:(430/500 86.00%)|0s take:25min remain:1min
epoch:95/101 loss:0.0109|8s train_acc:(4188/4208 99.52%)|5s valid_acc:(442/500 88.40%)|0s take:26min remain:1min
epoch:96/101 loss:0.0030|8s train_acc:(4204/4208 99.90%)|5s valid_acc:(435/500 87.00%)|0s take:26min remain:1min
epoch:97/101 loss:0.0006|8s train_acc:(4171/4208 99.12%)|5s valid_acc:(432/500 86.40%)|0s take:26min remain:1min
epoch:98/101 loss:0.0017|8s train_acc:(4203/4208 99.88%)|5s valid_acc:(438/500 87.60%)|0s take:26min remain:0min
epoch:99/101 loss:0.0000|8s train_acc:(4207/4208 99.98%)|5s valid_acc:(433/500 86.60%)|0s take:27min remain:0min
epoch:100/101 loss:0.0001|8s train_acc:(4205/4208 99.93%)|5s valid_acc:(439/500 87.80%)|0s take:27min remain:0min
epoch:101/101 loss:0.0000|8s train_acc:(4188/4208 99.52%)|5s valid_acc:(439/500 87.80%)|0s take:27min remain:0min
Inception3
GPU is on? True
4208 500
begin training, length_of_one_mini_batch : 106
epoch:1/101 loss:3.0755|47s train_acc:(2265/4208 53.83%)|11s valid_acc:(250/500 50.00%)|1s take:1min remain:102min
epoch:2/101 loss:1.4755|47s train_acc:(2712/4208 64.45%)|11s valid_acc:(299/500 59.80%)|1s take:2min remain:101min
epoch:3/101 loss:2.5100|47s train_acc:(2835/4208 67.37%)|11s valid_acc:(326/500 65.20%)|1s take:3min remain:100min
epoch:4/101 loss:1.9339|47s train_acc:(3032/4208 72.05%)|11s valid_acc:(347/500 69.40%)|1s take:4min remain:99min
epoch:5/101 loss:0.9419|47s train_acc:(3258/4208 77.42%)|11s valid_acc:(361/500 72.20%)|1s take:5min remain:98min
epoch:6/101 loss:1.1849|47s train_acc:(3342/4208 79.42%)|11s valid_acc:(367/500 73.40%)|1s take:6min remain:97min
epoch:7/101 loss:4.5045|47s train_acc:(3506/4208 83.32%)|11s valid_acc:(368/500 73.60%)|1s take:7min remain:96min
epoch:8/101 loss:2.1214|47s train_acc:(3526/4208 83.79%)|11s valid_acc:(388/500 77.60%)|1s take:8min remain:95min
epoch:9/101 loss:1.6991|47s train_acc:(3666/4208 87.12%)|11s valid_acc:(401/500 80.20%)|1s take:9min remain:94min
epoch:10/101 loss:0.4746|47s train_acc:(3634/4208 86.36%)|11s valid_acc:(399/500 79.80%)|1s take:10min remain:93min
epoch:11/101 loss:1.3110|47s train_acc:(3771/4208 89.62%)|11s valid_acc:(408/500 81.60%)|1s take:11min remain:92min
epoch:12/101 loss:1.4370|47s train_acc:(3816/4208 90.68%)|11s valid_acc:(413/500 82.60%)|1s take:12min remain:90min
epoch:13/101 loss:3.8225|47s train_acc:(3793/4208 90.14%)|11s valid_acc:(399/500 79.80%)|1s take:13min remain:90min
epoch:14/101 loss:1.7689|47s train_acc:(3782/4208 89.88%)|11s valid_acc:(420/500 84.00%)|1s take:14min remain:89min
epoch:15/101 loss:0.5282|47s train_acc:(3882/4208 92.25%)|11s valid_acc:(420/500 84.00%)|1s take:15min remain:88min
epoch:16/101 loss:2.0035|47s train_acc:(3808/4208 90.49%)|11s valid_acc:(417/500 83.40%)|1s take:17min remain:87min
epoch:17/101 loss:0.2517|47s train_acc:(3907/4208 92.85%)|11s valid_acc:(416/500 83.20%)|1s take:18min remain:85min
epoch:18/101 loss:0.6427|47s train_acc:(3900/4208 92.68%)|11s valid_acc:(420/500 84.00%)|1s take:19min remain:84min
epoch:19/101 loss:2.2630|47s train_acc:(3969/4208 94.32%)|11s valid_acc:(422/500 84.40%)|1s take:20min remain:83min
epoch:20/101 loss:1.4675|47s train_acc:(3965/4208 94.23%)|11s valid_acc:(433/500 86.60%)|1s take:21min remain:82min
epoch:21/101 loss:1.7072|47s train_acc:(3965/4208 94.23%)|11s valid_acc:(430/500 86.00%)|1s take:22min remain:81min
epoch:22/101 loss:2.6917|47s train_acc:(4009/4208 95.27%)|11s valid_acc:(433/500 86.60%)|1s take:23min remain:81min
epoch:23/101 loss:1.8628|47s train_acc:(4008/4208 95.25%)|11s valid_acc:(431/500 86.20%)|1s take:24min remain:79min
epoch:24/101 loss:0.2531|47s train_acc:(3927/4208 93.32%)|11s valid_acc:(426/500 85.20%)|1s take:25min remain:78min
epoch:25/101 loss:0.3889|47s train_acc:(4046/4208 96.15%)|11s valid_acc:(435/500 87.00%)|1s take:26min remain:77min
epoch:26/101 loss:0.3352|47s train_acc:(4055/4208 96.36%)|11s valid_acc:(434/500 86.80%)|1s take:27min remain:76min
epoch:27/101 loss:0.1782|47s train_acc:(4082/4208 97.01%)|11s valid_acc:(444/500 88.80%)|1s take:28min remain:75min
epoch:28/101 loss:2.4416|47s train_acc:(4094/4208 97.29%)|11s valid_acc:(444/500 88.80%)|1s take:29min remain:74min
epoch:29/101 loss:1.8323|47s train_acc:(3978/4208 94.53%)|11s valid_acc:(432/500 86.40%)|1s take:30min remain:73min
epoch:30/101 loss:0.1063|47s train_acc:(3999/4208 95.03%)|11s valid_acc:(421/500 84.20%)|1s take:31min remain:72min
epoch:31/101 loss:1.6328|47s train_acc:(4089/4208 97.17%)|11s valid_acc:(428/500 85.60%)|1s take:33min remain:71min
epoch:32/101 loss:2.3632|47s train_acc:(4073/4208 96.79%)|11s valid_acc:(430/500 86.00%)|1s take:34min remain:70min
epoch:33/101 loss:1.3255|47s train_acc:(4088/4208 97.15%)|11s valid_acc:(439/500 87.80%)|1s take:35min remain:69min
epoch:34/101 loss:1.0205|47s train_acc:(4135/4208 98.27%)|11s valid_acc:(449/500 89.80%)|1s take:36min remain:68min
epoch:35/101 loss:1.6487|47s train_acc:(4055/4208 96.36%)|11s valid_acc:(435/500 87.00%)|1s take:37min remain:67min
epoch:36/101 loss:0.0547|47s train_acc:(4154/4208 98.72%)|11s valid_acc:(440/500 88.00%)|1s take:38min remain:66min
epoch:37/101 loss:0.2420|47s train_acc:(4125/4208 98.03%)|11s valid_acc:(429/500 85.80%)|1s take:39min remain:65min
epoch:38/101 loss:2.1292|47s train_acc:(4169/4208 99.07%)|11s valid_acc:(447/500 89.40%)|1s take:40min remain:64min
epoch:39/101 loss:0.0555|47s train_acc:(4087/4208 97.12%)|11s valid_acc:(436/500 87.20%)|1s take:41min remain:63min
epoch:40/101 loss:1.0424|47s train_acc:(4145/4208 98.50%)|11s valid_acc:(441/500 88.20%)|1s take:42min remain:62min
epoch:41/101 loss:0.0042|47s train_acc:(4165/4208 98.98%)|11s valid_acc:(440/500 88.00%)|1s take:43min remain:61min
epoch:42/101 loss:1.7798|47s train_acc:(4151/4208 98.65%)|11s valid_acc:(446/500 89.20%)|1s take:44min remain:60min
epoch:43/101 loss:0.9401|47s train_acc:(4170/4208 99.10%)|11s valid_acc:(444/500 88.80%)|1s take:45min remain:59min
epoch:44/101 loss:0.8618|47s train_acc:(4154/4208 98.72%)|11s valid_acc:(443/500 88.60%)|1s take:46min remain:58min
epoch:45/101 loss:1.3590|47s train_acc:(4179/4208 99.31%)|11s valid_acc:(440/500 88.00%)|1s take:47min remain:57min
epoch:46/101 loss:0.0117|47s train_acc:(4175/4208 99.22%)|11s valid_acc:(439/500 87.80%)|1s take:49min remain:56min
epoch:47/101 loss:0.1621|47s train_acc:(4145/4208 98.50%)|11s valid_acc:(449/500 89.80%)|1s take:50min remain:55min
epoch:48/101 loss:0.1101|47s train_acc:(4160/4208 98.86%)|11s valid_acc:(451/500 90.20%)|1s take:51min remain:54min
epoch:49/101 loss:0.4495|47s train_acc:(4169/4208 99.07%)|11s valid_acc:(446/500 89.20%)|1s take:52min remain:53min
epoch:50/101 loss:0.0045|47s train_acc:(4172/4208 99.14%)|11s valid_acc:(449/500 89.80%)|1s take:53min remain:52min
epoch:51/101 loss:0.0015|47s train_acc:(4172/4208 99.14%)|11s valid_acc:(447/500 89.40%)|1s take:54min remain:51min
epoch:52/101 loss:0.0868|47s train_acc:(4166/4208 99.00%)|11s valid_acc:(441/500 88.20%)|1s take:55min remain:50min
epoch:53/101 loss:0.5810|47s train_acc:(4133/4208 98.22%)|11s valid_acc:(441/500 88.20%)|1s take:56min remain:49min
epoch:54/101 loss:1.6190|47s train_acc:(4154/4208 98.72%)|11s valid_acc:(447/500 89.40%)|1s take:57min remain:48min
epoch:55/101 loss:1.9862|47s train_acc:(4161/4208 98.88%)|11s valid_acc:(456/500 91.20%)|1s take:58min remain:47min
epoch:56/101 loss:1.3025|47s train_acc:(4168/4208 99.05%)|11s valid_acc:(455/500 91.00%)|1s take:59min remain:46min
epoch:57/101 loss:1.0588|47s train_acc:(4151/4208 98.65%)|11s valid_acc:(444/500 88.80%)|1s take:60min remain:45min
epoch:58/101 loss:0.2614|47s train_acc:(4178/4208 99.29%)|11s valid_acc:(449/500 89.80%)|1s take:61min remain:44min
epoch:59/101 loss:0.0007|47s train_acc:(4186/4208 99.48%)|11s valid_acc:(453/500 90.60%)|1s take:62min remain:43min
epoch:60/101 loss:0.0143|47s train_acc:(4189/4208 99.55%)|11s valid_acc:(453/500 90.60%)|1s take:63min remain:42min
epoch:61/101 loss:0.0458|47s train_acc:(4195/4208 99.69%)|11s valid_acc:(450/500 90.00%)|1s take:65min remain:41min
epoch:62/101 loss:0.1708|47s train_acc:(4189/4208 99.55%)|11s valid_acc:(452/500 90.40%)|1s take:66min remain:40min
epoch:63/101 loss:0.5696|47s train_acc:(4187/4208 99.50%)|11s valid_acc:(453/500 90.60%)|1s take:67min remain:39min
epoch:64/101 loss:0.6847|47s train_acc:(4166/4208 99.00%)|11s valid_acc:(453/500 90.60%)|1s take:68min remain:38min
epoch:65/101 loss:0.0310|47s train_acc:(4195/4208 99.69%)|11s valid_acc:(452/500 90.40%)|1s take:69min remain:37min
epoch:66/101 loss:0.0662|47s train_acc:(4197/4208 99.74%)|11s valid_acc:(456/500 91.20%)|1s take:70min remain:36min
epoch:67/101 loss:0.2571|47s train_acc:(4174/4208 99.19%)|11s valid_acc:(444/500 88.80%)|1s take:71min remain:35min
epoch:68/101 loss:0.0210|47s train_acc:(4173/4208 99.17%)|11s valid_acc:(445/500 89.00%)|1s take:72min remain:34min
epoch:69/101 loss:0.0177|47s train_acc:(4140/4208 98.38%)|11s valid_acc:(451/500 90.20%)|1s take:73min remain:33min
epoch:70/101 loss:0.2343|47s train_acc:(4164/4208 98.95%)|11s valid_acc:(446/500 89.20%)|1s take:74min remain:32min
epoch:71/101 loss:0.1445|47s train_acc:(4181/4208 99.36%)|11s valid_acc:(445/500 89.00%)|1s take:75min remain:31min
epoch:72/101 loss:0.2058|47s train_acc:(4183/4208 99.41%)|11s valid_acc:(449/500 89.80%)|1s take:76min remain:30min
epoch:73/101 loss:0.6671|47s train_acc:(4180/4208 99.33%)|11s valid_acc:(441/500 88.20%)|1s take:77min remain:29min
epoch:74/101 loss:1.5552|47s train_acc:(4082/4208 97.01%)|11s valid_acc:(438/500 87.60%)|1s take:79min remain:28min
epoch:75/101 loss:0.4967|47s train_acc:(4197/4208 99.74%)|11s valid_acc:(455/500 91.00%)|1s take:80min remain:27min
epoch:76/101 loss:0.0294|47s train_acc:(4153/4208 98.69%)|11s valid_acc:(434/500 86.80%)|1s take:81min remain:26min
epoch:77/101 loss:0.0502|47s train_acc:(4178/4208 99.29%)|11s valid_acc:(439/500 87.80%)|1s take:82min remain:25min
epoch:78/101 loss:0.0012|47s train_acc:(4182/4208 99.38%)|11s valid_acc:(438/500 87.60%)|1s take:83min remain:24min
epoch:79/101 loss:3.8252|47s train_acc:(4187/4208 99.50%)|11s valid_acc:(446/500 89.20%)|1s take:84min remain:23min
epoch:80/101 loss:0.0666|47s train_acc:(4182/4208 99.38%)|11s valid_acc:(442/500 88.40%)|1s take:85min remain:22min
epoch:81/101 loss:0.0028|47s train_acc:(4186/4208 99.48%)|11s valid_acc:(449/500 89.80%)|1s take:86min remain:21min
epoch:82/101 loss:0.0753|47s train_acc:(4203/4208 99.88%)|11s valid_acc:(451/500 90.20%)|1s take:87min remain:20min
epoch:83/101 loss:0.3472|47s train_acc:(4199/4208 99.79%)|11s valid_acc:(455/500 91.00%)|1s take:88min remain:19min
epoch:84/101 loss:0.0081|47s train_acc:(4200/4208 99.81%)|11s valid_acc:(447/500 89.40%)|1s take:89min remain:18min
epoch:85/101 loss:0.7884|47s train_acc:(4197/4208 99.74%)|11s valid_acc:(450/500 90.00%)|1s take:90min remain:17min
epoch:86/101 loss:0.4402|47s train_acc:(4204/4208 99.90%)|11s valid_acc:(450/500 90.00%)|1s take:91min remain:16min
epoch:87/101 loss:0.0476|47s train_acc:(4177/4208 99.26%)|11s valid_acc:(457/500 91.40%)|1s take:92min remain:15min
epoch:88/101 loss:0.0013|47s train_acc:(4181/4208 99.36%)|11s valid_acc:(446/500 89.20%)|1s take:93min remain:14min
epoch:89/101 loss:1.7521|47s train_acc:(4163/4208 98.93%)|11s valid_acc:(449/500 89.80%)|1s take:95min remain:13min
epoch:90/101 loss:0.6544|47s train_acc:(4186/4208 99.48%)|11s valid_acc:(454/500 90.80%)|1s take:96min remain:12min
epoch:91/101 loss:0.1418|47s train_acc:(4195/4208 99.69%)|11s valid_acc:(447/500 89.40%)|1s take:97min remain:11min
epoch:92/101 loss:0.0253|47s train_acc:(4192/4208 99.62%)|11s valid_acc:(454/500 90.80%)|1s take:98min remain:10min
epoch:93/101 loss:0.8039|47s train_acc:(4200/4208 99.81%)|11s valid_acc:(457/500 91.40%)|1s take:99min remain:9min
epoch:94/101 loss:0.1331|47s train_acc:(4195/4208 99.69%)|11s valid_acc:(451/500 90.20%)|1s take:100min remain:8min
epoch:95/101 loss:5.4324|47s train_acc:(4195/4208 99.69%)|11s valid_acc:(449/500 89.80%)|1s take:101min remain:7min
epoch:96/101 loss:1.0202|47s train_acc:(4196/4208 99.71%)|11s valid_acc:(445/500 89.00%)|1s take:102min remain:6min
epoch:97/101 loss:1.2668|47s train_acc:(4195/4208 99.69%)|11s valid_acc:(454/500 90.80%)|1s take:103min remain:5min
epoch:98/101 loss:0.1694|47s train_acc:(4186/4208 99.48%)|11s valid_acc:(452/500 90.40%)|1s take:104min remain:4min
epoch:99/101 loss:0.8011|47s train_acc:(4191/4208 99.60%)|11s valid_acc:(454/500 90.80%)|1s take:105min remain:3min
epoch:100/101 loss:0.0097|47s train_acc:(4200/4208 99.81%)|11s valid_acc:(461/500 92.20%)|1s take:106min remain:2min
epoch:101/101 loss:0.2449|47s train_acc:(4205/4208 99.93%)|11s valid_acc:(452/500 90.40%)|1s take:107min remain:1min
VGG
GPU is on? True
4208 500
begin training, length_of_one_mini_batch : 106
Traceback (most recent call last):
  File "quick_start.py", line 216, in <module>
    net.train(int(args.epoch))
  File "quick_start.py", line 167, in train
    train_correct, train_samples, train_acc = self.check_accuracy(self.sub_train_loader)
  File "quick_start.py", line 131, in check_accuracy
    predict = self.model(x_gpu)
  File "/home/s1838362/miniconda3/envs/mlp/lib/python3.7/site-packages/torch/nn/modules/module.py", line 489, in __call__
    result = self.forward(*input, **kwargs)
